username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
IEEEorg,2017-10-20 13:09,7,7,"Now,you can manage entire factories from a #smartphone : http:// bit.ly/2xT3RDQ via @generalelectric",,@generalelectric,#smartphone,"921468316643930112",https://twitter.com/IEEEorg/status/921468316643930112
IEEEorg,2017-10-20 12:12,51,54,"Researchers say the best earthquake monitoring system is already installed under our feet: http:// bit.ly/2zpgE1Z via @IEEESpectrum",,@IEEESpectrum,,"921453971520311296",https://twitter.com/IEEEorg/status/921453971520311296
IEEEorg,2017-10-20 11:22,15,9,"This chatbot can help with depression: http:// bit.ly/2goka5k via @techreview",,@techreview,,"921441389405200384",https://twitter.com/IEEEorg/status/921441389405200384
IEEEorg,2017-10-20 09:40,1,9,"Octopus-like rubber skin could lead to shape-shifting #robots : http:// engt.co/2yCkmpY via @engadget",,@engadget,#robots,"921415720591818753",https://twitter.com/IEEEorg/status/921415720591818753
IEEEorg,2017-10-20 09:06,18,13,"What can humans do to prepare for a world full of #AI ? http:// bit.ly/2wYSyyp",,,#AI,"921407162861092865",https://twitter.com/IEEEorg/status/921407162861092865
IEEEorg,2017-10-20 08:35,11,5,"Spider silk could hugely benefit humankind if we can industrialize its production: http:// bit.ly/2xVdozd via @sciencemagazine",,@sciencemagazine,,"921399362307141637",https://twitter.com/IEEEorg/status/921399362307141637
IEEEorg,2017-10-20 08:14,9,10,"#TechHistory : Today in 1975, #Atari filed for a patent on a sit-down "cockpit" arcade cabinet.",,,#TechHistory #Atari,"921394075877675008",https://twitter.com/IEEEorg/status/921394075877675008
IEEEorg,2017-10-20 07:41,16,19,"#DeepMind 's superhuman #AI teaches itself: http:// bit.ly/2ino2Ie via @techreview",,@techreview,#DeepMind #AI,"921385770837008384",https://twitter.com/IEEEorg/status/921385770837008384
IEEEorg,2017-10-20 06:32,13,16,"#TechFact : Printed Circuit Boards (PCB) are designed using Computer Aided Design (CAD).",,,#TechFact,"921368406305263616",https://twitter.com/IEEEorg/status/921368406305263616
IEEEorg,2017-10-19 13:17,11,11,"Here's a closer look at #Apple 's secret #selfdrivingcar : http:// bit.ly/2yC1AkM via @verge",,@verge,#Apple #selfdrivingcar,"921107939989053441",https://twitter.com/IEEEorg/status/921107939989053441
IEEEorg,2017-10-19 12:17,5,3,"#EV chargers have started popping up at UK gas stations: http:// engt.co/2zlYEWt via @engadget",,@engadget,#EV,"921092841077723136",https://twitter.com/IEEEorg/status/921092841077723136
IEEEorg,2017-10-19 11:31,4,10,"This #electric jet #startup could become " #Uber in the sky": http:// bit.ly/2zlmAZS via @physorg_com",,@physorg_com,#electric #startup #Uber,"921081266795171840",https://twitter.com/IEEEorg/status/921081266795171840
IEEEorg,2017-10-19 09:44,19,27,"There's a new #LEGO set that honors the women of @NASA : http:// bit.ly/2zArROa @IEEEWIE via @arstechnica",,@NASA @IEEEWIE @arstechnica,#LEGO,"921054337111117825",https://twitter.com/IEEEorg/status/921054337111117825
IEEEorg,2017-10-19 09:10,7,8,"Explore #healthcare #robotics with IEEE Senior Member Ayanna Howard: http:// bit.ly/2yV166M",,,#healthcare #robotics,"921045783465676800",https://twitter.com/IEEEorg/status/921045783465676800
IEEEorg,2017-10-19 08:27,12,22,"#TechHistory : Today in 1941, The Smith-Putnam Wind Turbine became the first wind machine to feed AC power to the electric grid.",,,#TechHistory,"921034959758020608",https://twitter.com/IEEEorg/status/921034959758020608
IEEEorg,2017-10-19 08:20,4,10,"This #startup will give #selfdrivingcars night vision: http:// bit.ly/2xSeSu2 via @IEEESpectrum",,@IEEESpectrum,#startup #selfdrivingcars,"921033198477496326",https://twitter.com/IEEEorg/status/921033198477496326
IEEEorg,2017-10-19 07:20,14,23,"The world's first floating wind farm is capable of generating enough energy to power 20,000 homes: http:// engt.co/2xRbLCN via @engadget",,@engadget,,"921018101294084096",https://twitter.com/IEEEorg/status/921018101294084096
IEEEorg,2017-10-19 06:41,9,26,"#TechFact : Most modern wind turbines have 3 blades which can reach speeds of over 320 kph (~200 mph).",,,#TechFact,"921008284789862401",https://twitter.com/IEEEorg/status/921008284789862401
IEEEorg,2017-10-18 13:19,6,6,"#ElonMusk 's brother, Kimbal Musk wants to feed America, #SiliconValley -style: http:// nyti.ms/2hO9BZJ via @nytimes",,@nytimes,#ElonMusk #SiliconValley,"920746057310580736",https://twitter.com/IEEEorg/status/920746057310580736
IEEEorg,2017-10-18 12:24,6,11,"This #energy startup wants to swap lithium for carbon in order to make batteries that charge faster: http:// reut.rs/2yrYRup via @Reuters",,@Reuters,#energy,"920732215713116166",https://twitter.com/IEEEorg/status/920732215713116166
IEEEorg,2017-10-18 11:14,13,10,"#AI researchers want to teach #computers to make moral choices based on human survey responses: http:// bit.ly/2yxBUoV via @outline",,@outline,#AI #computers,"920714599091113989",https://twitter.com/IEEEorg/status/920714599091113989
IEEEorg,2017-10-18 09:50,18,22,"This #robot can make more accurate, less damaging cuts than humans: http:// bit.ly/2yxqHD5 via @IEEESpectrum",,@IEEESpectrum,#robot,"920693460084187138",https://twitter.com/IEEEorg/status/920693460084187138
IEEEorg,2017-10-18 09:26,0,3,"#TechHistory",,,#TechHistory,"920687419799859203",https://twitter.com/IEEEorg/status/920687419799859203
IEEEorg,2017-10-18 09:02,7,6,"IEEE President and CEO Karen Bartleson offers advice about choosing a career in #engineering : http:// bit.ly/2xNPTDy",,,#engineering,"920681383105875969",https://twitter.com/IEEEorg/status/920681383105875969
IEEEorg,2017-10-18 08:22,2,5,"#Alphabet 's #drone deliveries are taking to Australian skies: http:// bit.ly/2gO9XzO via @Theteamatx",,@Theteamatx,#Alphabet #drone,"920671355514834944",https://twitter.com/IEEEorg/status/920671355514834944
IEEEorg,2017-10-18 07:49,8,12,"#AI #algorithms are starting to teach AI algorithms: http:// bit.ly/2gs3EFj via @techreview",,@techreview,#AI #algorithms,"920663009722236929",https://twitter.com/IEEEorg/status/920663009722236929
IEEEorg,2017-10-18 07:02,9,21,"#TechFact : The first national TV broadcast in color occurred in 1954, as NBC broadcasted the Tournament of Roses Parade on New Year’s Day.",,,#TechFact,"920651181424283648",https://twitter.com/IEEEorg/status/920651181424283648
IEEEorg,2017-10-17 14:09,4,11,"Waves in lakes make waves in the Earth: http:// bit.ly/2zuRNLh via @physorg_com",,@physorg_com,,"920396251832705024",https://twitter.com/IEEEorg/status/920396251832705024
IEEEorg,2017-10-17 13:18,17,22,"The first ever "negative emissions" power plant went online in #Iceland : http:// engt.co/2ywyIuf via @engadget",,@engadget,#Iceland,"920383416306143233",https://twitter.com/IEEEorg/status/920383416306143233
IEEEorg,2017-10-17 12:21,18,22,"Humans observed light & gravitational waves from a neutron star collision 130 million light years away: http:// bit.ly/2zv72nq via @PopSci",,@PopSci,,"920369073661325312",https://twitter.com/IEEEorg/status/920369073661325312
IEEEorg,2017-10-17 11:14,9,11,"This mind-bending actuator could make #robots safer and more #energyefficient : http:// bit.ly/2yPU32r via @IEEESpectrum",,@IEEESpectrum,#robots #energyefficient,"920352212139864064",https://twitter.com/IEEEorg/status/920352212139864064
IEEEorg,2017-10-17 10:17,5,14,"#TechHistory : Today in 1990, Col Needham posted a #software package to rec.arts.movies, which is now the Internet Movie Database (IMDb).",,,#TechHistory #software,"920337866538078208",https://twitter.com/IEEEorg/status/920337866538078208
IEEEorg,2017-10-17 09:29,7,15,""Hovering" antennas promise speedy #5G phone networks: http:// engt.co/2goYwld via @engadget",,@engadget,#5G,"920325786980241409",https://twitter.com/IEEEorg/status/920325786980241409
IEEEorg,2017-10-17 09:06,15,11,"October is National #Cybersecurity Awareness month. Here are some tips to secure your information online: http:// bit.ly/2kWCVBV",,,#Cybersecurity,"920320052645236739",https://twitter.com/IEEEorg/status/920320052645236739
IEEEorg,2017-10-17 08:40,7,11,"#GeneralMotors is going all #Electric : http:// bit.ly/2xRGBYP via @WIRED",,@WIRED,#GeneralMotors #Electric,"920313457391620096",https://twitter.com/IEEEorg/status/920313457391620096
IEEEorg,2017-10-17 08:24,2,13,"#TechFact : The term "phonograph" comes from two Greek words translated as phonē and graphē, meaning "sound" and "writing", respectively.",,,#TechFact,"920309428905283584",https://twitter.com/IEEEorg/status/920309428905283584
IEEEorg,2017-10-16 13:25,11,13,"If an astronaut gets hurt on the moon, this is how we'll rescue them: http:// bit.ly/2yN63lB via @PopSci",,@PopSci,,"920022790916337665",https://twitter.com/IEEEorg/status/920022790916337665
IEEEorg,2017-10-16 12:17,4,9,"Find out how this #startup pivoted from #smartphone OS into #selfdriving construction equipment: http:// bit.ly/2xILzoL via @Recode",,@Recode,#startup #smartphone #selfdriving,"920005678852333568",https://twitter.com/IEEEorg/status/920005678852333568
IEEEorg,2017-10-16 11:35,4,3,"This skin-tight #exoskeleton allows wearers to easily walk curved paths: http:// bit.ly/2ze0f0i via @newscientist",,@newscientist,#exoskeleton,"919995109831196672",https://twitter.com/IEEEorg/status/919995109831196672
IEEEorg,2017-10-16 09:26,58,59,"#Microsoft and #Amazon have created an open-source #deeplearning #software library: http:// tcrn.ch/2hJO2JI via @TechCrunch",,@TechCrunch,#Microsoft #Amazon #deeplearning #software,"919962687680819200",https://twitter.com/IEEEorg/status/919962687680819200
IEEEorg,2017-10-16 09:07,5,2,"Dr. Alan Finkel gave a keynote at #IEEESC2017 on how #AI will change the future: http:// bit.ly/2kTB7JZ @IEEE_SC",,@IEEE_SC,#IEEESC2017 #AI,"919957862536814592",https://twitter.com/IEEEorg/status/919957862536814592
IEEEorg,2017-10-16 08:32,14,15,"#TechHistory : Today in 1959, Control Data Corp. released its model 1604 computer, the most powerful #computer in its day.",,,#TechHistory #computer,"919949055723106311",https://twitter.com/IEEEorg/status/919949055723106311
IEEEorg,2017-10-16 08:07,25,33,"This #RaspberryPi laptop teaches code with modular innards: http:// engt.co/2ypTrh7 via @engadget",,@engadget,#RaspberryPi,"919942763117813761",https://twitter.com/IEEEorg/status/919942763117813761
IEEEorg,2017-10-16 07:41,2,5,"This cockroach-inspired #robot grows a tail to help flip itself over with ease: http:// bit.ly/2igmxeV via @IEEESpectrum",,@IEEESpectrum,#robot,"919936220276318210",https://twitter.com/IEEEorg/status/919936220276318210
IEEEorg,2017-10-16 07:05,21,35,"Keep striving to achieve greatness. #IEEE #Engineer #Engineering #Tech #Technology #Quote #qotd #MondayMotivation #Motivation pic.twitter.com/yOthfFLIH8",,,#IEEE #Engineer #Engineering #Tech #Technology #Quote #qotd #MondayMotivation #Motivation,"919927168016121858",https://twitter.com/IEEEorg/status/919927168016121858
